Date,Strategy,S&P 500,Nasdaq 100
2022-01-03,100000.0,100000.0,100000.0
2022-01-04,100000.0,99936.62137735923,98500.04852249016
2022-01-05,100000.0,97998.986775967,95802.1980688049
2022-01-06,100000.0,97904.12732431717,95995.07496724732
2022-01-07,100000.0,97508.01093281241,94671.62404774613
2022-01-10,100000.0,97367.07689036123,94860.25522829831
2022-01-11,100000.0,98259.38118280355,96019.33621233441
2022-01-12,100000.0,98536.24569223424,96439.05575234121
2022-01-13,100000.0,97132.32580781686,94030.52064631956
2022-01-14,100000.0,97211.96605074043,94657.67383182104
2022-01-18,100000.0,95424.43871349737,92229.72972972972
2022-01-19,100000.0,94500.23662742336,91088.84467950895
2022-01-20,100000.0,93457.19962389792,89451.21063612984
2022-01-21,100000.0,91689.47810623008,87611.60172740064
2022-01-24,100000.0,91943.6180437271,87922.1456645155
2022-01-25,100000.0,90824.48499657048,86153.50089766606
2022-01-26,99601.90272083218,90688.1375649683,86602.94046290456
2022-01-27,99305.67613211673,90199.87199186085,85619.14697462274
2022-01-28,98905.33735190367,92396.44162391042,87397.49623950702
2022-01-31,98758.22086653783,94141.02160502192,90278.51909359987
2022-02-01,100377.55225514395,94787.10828779732,91799.09262943374
2022-02-02,100626.68573543827,95680.2465094849,89645.9071279538
2022-02-03,100154.42139757842,93346.49551658791,89601.63035566985
2022-02-04,100564.475778378,93828.29813804448,89360.83749818041
2022-02-07,101810.66435510627,93480.96660738821,88687.58794701344
2022-02-08,101208.81069661722,94266.31947412423,89662.88999951477
2022-02-09,101650.22672120563,95634.7973656175,91298.09791838517
2022-02-10,100959.60559793751,93901.89239393984,88966.59226551506
2022-02-11,104200.540697499,92121.03649065895,86572.61390654568
2022-02-14,102810.16528502168,91766.82504372917,86773.9822407686
2022-02-15,101564.78147832661,93214.10924890077,88370.97869862682
2022-02-16,102562.29546511317,93296.25127956021,88402.51831724004
2022-02-17,101377.81890541247,91320.67289750803,86035.22732786647
2022-02-18,100951.92275414473,90666.45540459121,84968.33907516133
2022-02-22,100261.30652512435,89746.83992936621,84771.21645882865
2022-02-23,99981.80999470838,88093.99216523474,81927.19200349362
2022-02-24,98552.09444827892,89411.60037276636,84110.09753020524
2022-02-25,101563.75053716564,91411.98814986544,86002.47464699889
2022-02-28,101221.8693430704,91189.12055906617,86576.85962443592
2022-03-01,100121.84460779055,89778.11227606396,85215.80377504973
2022-03-02,102726.0725345898,91451.3913067046,86182.00786064341
2022-03-03,101846.4333011777,90971.25654373855,85425.05701392595
2022-03-04,101606.4978099446,90249.4907819546,83891.74632442137
2022-03-07,99889.56230346383,87585.50380792943,80506.08957251685
2022-03-08,99681.3198397427,86951.50909921048,80392.66825173468
2022-03-09,99581.87618497405,89186.02251191999,83366.4903682857
2022-03-10,99220.31701431496,88803.24898833959,82476.70920471638
2022-03-11,95530.44589661984,87652.6351121739,80737.17793197146
2022-03-14,92913.15786562115,87002.17030086083,79502.28055703819
2022-03-15,95149.90741334381,88864.33430555585,81605.1239749624
2022-03-16,99417.7822628184,90853.46403784372,84770.60992770147
2022-03-17,101942.4036585483,91975.30735504747,85096.31714299577
2022-03-18,103912.79433865957,93047.9488467801,87557.62045708185
2022-03-21,103741.18285454114,93007.50327838435,87026.90572080159
2022-03-22,105535.67618421739,94058.87957436254,88967.19879664225
2022-03-23,104866.61323129917,92904.5130165931,87797.80678344412
2022-03-24,106999.94757231932,94237.5489151623,89452.4236983842
2022-03-25,106450.90467573122,94714.55644345857,89460.30860303751
2022-03-28,107195.48923498436,95391.29002599776,90800.74239409967
2022-03-29,109289.31016229502,96560.87579249339,92301.30040273667
2022-03-30,107755.24428458726,95953.14985500056,91588.01979717598
2022-03-31,106323.43304307191,94451.24328426355,90410.1363481974
2022-04-01,107581.157002205,94773.34845525032,89978.89271677422
2022-04-04,109095.21901431338,95539.72943165638,91863.38492891454
2022-04-05,105407.09648754675,94340.53917695353,89932.79635110873
2022-04-06,103337.05566688122,93424.25941870963,87575.81639089718
2022-04-07,103860.93033223538,93821.20973945965,88315.17783492648
2022-04-08,104188.45963224406,93572.49034205695,86883.76437478772
2022-04-11,103090.68610290404,91993.65379844347,84748.16827599592
2022-04-12,103056.33643222543,91679.26247297549,84836.72182056383
2022-04-13,105103.58877570917,92703.74455079359,86206.2691057305
2022-04-14,103088.94546332455,91577.9400696748,84258.69765636373
2022-04-18,102112.71628152896,91559.17666165614,84993.20685137561
2022-04-19,103151.55830975996,93029.39392107278,85392.30433305836
2022-04-20,100091.99638671559,92971.85280314893,85429.90926294337
2022-04-21,96121.5569626667,91600.24767698586,82951.62307729632
2022-04-22,93028.9613349829,89059.26526663845,80782.0612353826
2022-04-25,94389.04734841852,89566.71121238719,82024.236983842
2022-04-26,90675.12538340874,87045.74310392636,78842.9812217963
2022-04-27,90394.82419349586,87228.37360864118,79880.14944926974
2022-04-28,95875.44577261581,89386.58249540818,80364.76781988451
2022-04-29,91746.30782160812,86143.22317822944,78173.3708573924
2022-05-02,94032.73978244295,86632.5311628935,79163.83618807317
2022-05-03,93984.30988970984,87051.16364402063,79568.9989810277
2022-05-04,97252.13854673608,89650.72958384847,81952.66631083508
2022-05-05,90716.62130804878,86454.69575133898,78138.1920520161
2022-05-06,88449.09744856002,85964.55383742967,76865.08321607063
2022-05-09,82766.01015938287,83210.08554029235,74212.72259692368
2022-05-10,83348.96580694176,83414.60668769559,74821.67984860983
2022-05-11,81515.95872574806,82041.7506676646,72793.43975932845
2022-05-12,82069.13262230036,81935.42468889228,72935.97457421514
2022-05-13,84480.1414522014,83891.19725136922,74968.46038138677
2022-05-16,84242.31385509386,83560.12734099576,74380.73171915181
2022-05-17,87210.79348397895,85245.08138107024,76170.60507545246
2022-05-18,83725.4282031088,81801.57904502592,71695.61841913726
2022-05-19,83889.23764769456,81324.36303441836,72350.06550536172
2022-05-20,84183.09737759236,81336.2465261635,71767.79562327138
2022-05-23,85409.82918185815,82845.86694241928,73091.24654277258
2022-05-24,83988.16451694231,82173.09452379514,71611.91712358678
2022-05-25,85585.35600413615,82949.69113345578,72077.12649813188
2022-05-26,88084.63991891485,84598.99469829483,74340.09413363095
2022-05-27,90175.35694686623,86691.74013930788,77102.23688679702
2022-05-31,88876.20738131825,86148.22675370109,76752.26842641564
2022-06-01,88270.14732797525,85503.59944710492,76080.23193750303
2022-06-02,90471.16773836079,87079.10027373729,78206.73006938717
2022-06-03,89683.23342017211,85656.00001667859,76132.3936144403
2022-06-06,90578.91130144996,85924.73371596786,76447.78980057256
2022-06-07,92213.27855262657,86742.60982326955,76889.95099228491
2022-06-08,92647.7837040525,85806.73272776172,76539.37600077636
2022-06-09,88765.06317003953,83764.23152377637,74583.91964675627
2022-06-10,85752.53654568507,81325.82241059758,71903.65859575913
2022-06-13,80598.47996397744,78173.36138115362,68706.63302440681
2022-06-14,81654.67066930216,77877.94194601559,68680.55218593818
2022-06-15,83401.14265080306,79014.79598963427,70284.22048619535
2022-06-16,79403.36145500508,76445.45998494758,67754.37915473821
2022-06-17,79645.80657850284,76614.12217480408,68353.63190838954
2022-06-21,80879.77440351357,78489.42056511217,70045.85375321461
2022-06-22,79362.98907343663,78387.26423256619,69797.17599107185
2022-06-23,80338.20519947255,79134.04787170832,70673.61346984327
2022-06-24,83201.88767701173,81552.65116531188,73259.25566500072
2022-06-27,83096.95136515985,81310.60320187134,73021.49546314716
2022-06-28,81026.90536809541,79672.34919953217,70647.53263137463
2022-06-29,80723.52514364451,79616.05897547623,70698.48124605755
2022-06-30,79389.85033670969,78918.68564411653,69710.44203988549
2022-07-01,79116.13023456033,79751.1555132105,70259.95924110826
2022-07-05,79224.46241458047,79877.49579386938,71466.95618419137
2022-07-06,79409.30992799689,80163.32504268676,72002.52316948907
2022-07-07,81436.44827389921,81362.93226201224,73324.15449560872
2022-07-08,81288.79129926141,81294.96702852247,73561.30816633509
2022-07-11,79592.11004988497,80358.25600376936,72020.11257217721
2022-07-12,78928.9177641865,79615.01656391963,71263.16172545975
2022-07-13,79032.55675917363,79260.17967005589,70969.60065990586
2022-07-14,78161.06595877922,79022.50983515305,71428.13819205202
2022-07-15,79998.22274819462,80540.26106155025,72712.77111941384
2022-07-18,79609.32513438798,79866.65471368082,72102.60080547334
2022-07-19,82140.72499457604,82073.04386259348,74537.21674996361
2022-07-20,82918.16002103187,82556.88961070098,75208.04017662186
2022-07-21,84119.67560429605,83371.01303639893,76096.60827793683
2022-07-22,82559.4006366004,82592.99874702131,75215.31855014799
2022-07-25,82819.34064944088,82701.57633475588,74597.86986268136
2022-07-26,81832.50189731391,81746.9358312294,73792.39652578969
2022-07-27,84192.45703872386,83885.17211257211,76142.7046436023
2022-07-28,85918.35554487485,84902.94105996577,78247.36765490804
2022-07-29,87149.99251314484,86109.21971325342,78550.0266873696
2022-08-01,86864.14850407497,85866.17103471857,78590.66427289047
2022-08-02,87154.80966912578,85294.09557246116,78223.10640982095
2022-08-03,89367.297913501,86627.96540027561,80230.11790965112
2022-08-04,89160.96163949583,86560.58391725755,80715.34281139309
2022-08-05,90309.61969264291,86419.90005357996,80028.7495754282
2022-08-08,91086.89550767973,86312.71929733123,80000.84914357805
2022-08-09,90725.35880076064,85946.41587634497,79043.13649376485
2022-08-10,95731.56287006919,87775.84815816302,81028.31287301664
2022-08-11,94689.39918629495,87714.34587632412,80827.55106992091
2022-08-12,96224.14647035878,89233.34799658925,82236.52287835411
2022-08-15,96494.03333279613,89587.97640814165,82844.26706778591
2022-08-16,96184.64588498266,89755.59618644156,82753.2873987093
2022-08-17,94483.60371599159,89105.96530437375,81814.98374496578
2022-08-18,94522.32645934615,89308.1931463525,81986.02552282983
2022-08-19,91365.24876749852,88156.53685863024,80233.75709641418
2022-08-22,89251.5725957158,86269.98042351098,78341.98651074772
2022-08-23,89653.8986367377,86076.5088386076,78071.47362802658
2022-08-24,90127.90829304178,86327.52154143482,78485.73438788878
2022-08-25,91937.50774074493,87544.01582797707,79629.65209374545
2022-08-26,88017.29896438742,84595.03353437978,76096.00174680965
2022-08-29,87385.81477293585,84030.88039995247,75776.9663739143
2022-08-30,86352.39984252889,83104.17652614265,74905.3811441603
2022-08-31,85120.94317001181,82454.54564407482,74576.03474210296
2022-09-01,83976.25511308089,82702.01414760965,74506.89019360473
2022-09-02,83562.49517222724,81814.08798370503,73518.24445630549
2022-09-06,83302.18773439304,81479.05690941653,72865.01043233539
2022-09-07,84866.75818663577,82973.45811694607,74332.20922897762
2022-09-08,86146.08110164068,83521.97507802451,74870.8088699112
2022-09-09,88954.72959004148,84797.05289404721,76356.81013149595
2022-09-12,90282.8648678206,85694.9862088951,77438.25513125333
2022-09-13,85779.18387773327,81989.42160752372,73074.26367121161
2022-09-14,86288.87312675684,82267.53701082233,73797.24877480713
2022-09-15,85371.20817141245,81336.03804385218,72148.69717113882
2022-09-16,83831.9620903874,80751.87060753831,72000.09704498034
2022-09-19,84452.05397610368,81305.59962639971,72616.33267019263
2022-09-20,83339.44254955211,80389.52835046711,72041.34116162841
2022-09-21,81688.85053709341,79013.54509576636,70321.21888495317
2022-09-22,79073.56796028142,78347.65259341571,69782.01271289242
2022-09-23,77821.6871722657,76997.10418069578,68695.10893299044
2022-09-26,77358.32541997386,76201.32719839386,68235.35833858994
2022-09-27,78284.70059951983,76039.33644249955,68477.97078946092
2022-09-28,80753.40152081754,77535.19702620832,69617.03624630015
2022-09-29,78553.82882170942,75897.15150618045,67757.4118103741
2022-09-30,77629.47267725132,74753.62602859961,66680.81905963413
2022-10-03,80437.43814360267,76688.96732456735,68231.71915182687
2022-10-04,84553.38766324082,79033.97636227554,70268.45067688872
2022-10-05,83902.89861869541,78874.90435873969,70172.01222766752
2022-10-06,83368.95951215544,78066.82692006997,69442.35528167305
2022-10-07,79014.24384474508,75880.68140358632,66962.85603377165
2022-10-10,77349.96835216941,75312.15014062132,66349.65306419526
2022-10-11,75423.54335016393,74820.7573328441,65653.96186132272
2022-10-12,75428.08381487217,74574.95668779983,65497.47683051095
